starid,rarad,decrad,field,tile,seqn,period_reqb,period_r,period_b,magave_r,magave_b,magave_bminusr,magave_kv,magave_kr,magave_kvminuskr,amp_r,amp_b,amp_bminusr,amp_reqb,suprsa_r,suprsa_b,chi2r_r,chi2r_b,sig_r,sig_b,varindex,classification,points_total,points_concurrent,points_r,points_b
36315506,1.28674,-1.21145,17,2352,115,0.0,0.329482,0.329484,-6.357,-6.928,-0.57,17.494,17.805,-0.31,0.233,0.188,-45.0,19.37,0.7,0.99,1.82,4.12,0.061,0.057,0.223,10,386,339,347,360
36315111,1.28595,-1.21109,17,2352,552,0.0,0.565839,0.565838,-4.928,-4.92,0.008,19.398,19.13,0.268,0.756,1.121,365.0,48.26,0.84,0.91,9.66,14.99,0.277,0.423,0.36,1,386,182,241,240
36297352,1.28888,-1.21472,17,2470,15,1.59,335.166456,329.817991,-8.66,-6.775,1.884,17.205,15.06,2.145,0.273,0.62,347.0,127.27,4.18,4.15,35.29,42.09,0.123,0.209,1.667,8,387,372,380,373
36297355,1.28998,-1.2141,17,2470,18,0.05,43.053531,43.077459,-8.494,-7.341,1.152,16.771,15.358,1.412,0.128,0.135,7.0,5.35,1.99,2.43,3.46,5.42,0.044,0.066,0.866,7,387,272,283,374
36297302,1.28886,-1.2147,17,2470,29,0.0,1.950993,1.950993,-8.099,-7.924,0.174,16.364,15.929,0.435,0.21,0.322,112.0,52.85,0.67,0.67,13.7,27.15,0.073,0.106,1.197,5,387,371,379,374
36297303,1.29126,-1.21442,17,2470,30,0.0,1.703226,1.70326,-7.906,-7.836,0.069,16.471,16.141,0.33,0.277,0.374,97.0,35.13,0.59,0.6,22.82,40.32,0.087,0.118,1.6,4,387,356,359,365
36297125,1.28987,-1.21418,17,2470,236,0.0,0.555549,0.555539,-5.908,-5.625,0.283,18.644,18.101,0.543,0.265,0.521,256.0,96.78,1.07,0.89,4.23,11.67,0.091,0.18,0.374,11,387,310,316,372
36296671,1.29029,-1.21432,17,2470,678,0.04,16.36293,16.369841,-5.396,-4.899,0.496,19.331,18.574,0.757,0.337,0.203,-134.0,39.58,1.13,1.06,2.43,1.72,0.128,0.189,0.115,10,387,283,291,370
36296683,1.29009,-1.21523,17,2470,690,0.0,0.621903,0.6219,-4.933,-4.779,0.153,19.513,19.099,0.414,0.611,0.83,219.0,35.72,1.43,0.85,6.94,9.54,0.204,0.304,0.287,1,387,300,309,364
36296568,1.29012,-1.21513,17,2470,767,0.0,0.444224,0.444222,-4.404,-4.297,0.107,20.003,19.636,0.367,0.608,0.846,238.0,39.15,0.99,0.91,5.06,8.37,0.239,0.31,0.212,1,387,273,280,367
36296530,1.28887,-1.21492,17,2470,793,0.0,0.477593,0.477593,-4.612,-4.56,0.052,19.75,19.438,0.312,0.871,1.23,359.0,41.12,0.81,0.8,6.38,12.8,0.331,1.043,0.342,1,387,368,378,372
36294389,1.28892,-1.21344,17,2471,21,0.01,402.635223,402.691381,-9.055,-6.896,2.159,17.035,14.616,2.419,0.704,1.058,354.0,50.33,3.54,2.42,151.69,49.01,0.2,0.291,2.067,8,387,360,366,381
36294400,1.28976,-1.21293,17,2471,32,0.0,0.759641,0.759667,-8.288,-8.801,-0.512,15.611,15.864,-0.252,0.095,0.102,7.0,7.32,0.68,0.6,1.85,1.69,0.029,0.029,0.457,10,387,330,338,371
36294251,1.28886,-1.21314,17,2471,203,0.0,0.441129,0.441139,-6.18,-6.568,-0.387,17.821,17.949,-0.127,0.316,0.404,88.0,27.57,1.32,1.36,8.96,13.99,0.106,0.112,0.386,10,387,361,367,381
36293722,1.29183,-1.21352,17,2471,698,0.0,0.301828,0.301824,-4.948,-4.927,0.021,19.389,19.108,0.281,0.426,0.573,147.0,34.48,0.92,0.77,4.11,9.04,0.152,0.226,0.223,2,387,346,350,365
36291331,1.28983,-1.21175,17,2472,25,0.83,58.673158,59.165744,-9.825,-8.564,1.26,15.529,14.008,1.521,0.132,0.116,-16.0,12.47,2.19,3.09,4.85,9.92,0.047,0.071,1.894,6,387,350,363,372
36291337,1.29094,-1.212,17,2472,31,0.0,2.9222,2.922457,-9.393,-9.863,-0.469,14.541,14.751,-0.209,0.087,0.105,18.0,20.58,0.97,0.99,3.05,2.71,0.032,0.032,1.13,10,387,336,343,377
36291339,1.29088,-1.21271,17,2472,33,0.52,39.91737,40.124947,-9.343,-8.229,1.114,15.89,14.516,1.374,0.056,0.107,51.0,89.1,1.17,1.62,1.61,2.98,0.026,0.039,0.783,6,387,337,342,378
36312848,1.29138,-1.22227,17,2463,192,0.0,2.367316,2.367315,-5.729,-6.177,-0.447,18.223,18.411,-0.187,0.189,0.17,-19.0,10.35,0.84,0.77,1.51,1.28,0.069,0.058,0.112,10,388,374,383,378
36312872,1.29099,-1.22241,17,2463,216,0.0,0.446302,0.446306,-5.556,-5.924,-0.368,18.462,18.57,-0.107,0.241,0.211,-30.0,12.5,0.76,0.84,1.2,2.83,0.137,0.131,0.106,10,388,361,373,365
36312604,1.29118,-1.22318,17,2463,460,0.0,0.329611,0.329613,-5.222,-5.361,-0.138,18.984,18.863,0.121,0.466,0.616,150.0,32.06,0.73,0.97,4.63,7.43,0.156,0.188,0.287,2,388,375,384,378
36312618,1.28964,-1.22228,17,2463,474,0.0,0.58975,0.58975,-4.839,-4.848,-0.008,19.473,19.222,0.251,0.707,1.183,476.0,67.39,0.91,0.93,9.18,17.82,0.249,0.379,0.387,1,388,371,378,379
36312590,1.28887,-1.2228,17,2463,510,0.0,0.294356,0.294354,-4.868,-5.3,-0.431,19.097,19.269,-0.172,0.366,0.206,-160.0,43.59,1.02,1.1,2.26,2.37,0.119,0.135,0.119,10,388,379,385,381
36310922,1.29055,-1.22112,17,2464,10,1.61,1090.372308,1072.771831,-10.8,-9.845,0.955,14.303,13.088,1.215,0.273,0.671,398.0,145.51,1.86,3.35,16.93,32.04,0.086,0.15,7.209,9,388,356,363,379
36310863,1.28963,-1.22189,17,2464,15,0.19,295.547077,294.98467,-9.294,-7.56,1.734,16.447,14.453,1.994,0.356,0.522,166.0,46.71,4.16,4.44,32.68,34.43,0.117,0.145,2.536,8,388,376,382,382
36310871,1.291,-1.2217,17,2464,23,0.71,84.962608,85.572327,-7.834,-6.001,1.832,17.989,15.896,2.093,0.764,1.103,339.0,44.33,6.31,5.35,151.1,105.0,0.235,0.349,2.072,7,388,380,387,381
36310841,1.29098,-1.22183,17,2464,57,0.06,46.789689,46.76146,-7.138,-6.488,0.649,17.715,16.804,0.91,0.09,0.093,3.0,3.32,0.68,1.06,1.78,2.18,0.031,0.066,0.212,10,388,381,388,381
36310393,1.29109,-1.22111,17,2464,505,0.0,0.512929,0.512928,-4.314,-3.949,0.365,20.305,19.68,0.625,1.017,1.655,638.0,62.76,0.74,0.74,5.0,5.5,0.397,0.79,0.247,1,388,375,385,377
36310404,1.29069,-1.22181,17,2464,516,0.0,0.564038,0.564042,-4.839,-4.831,0.008,19.487,19.219,0.268,0.73,0.989,259.0,35.35,1.38,1.7,10.02,19.16,0.267,0.39,0.436,1,388,377,385,379
36308821,1.28975,-1.22,17,2465,13,0.57,63.582552,63.949775,-9.241,-9.137,0.103,15.164,14.8,0.364,0.097,0.206,109.0,111.79,2.45,3.67,6.46,13.11,0.052,0.076,2.218,10,388,380,387,381
36327843,1.28648,-1.21559,17,2348,108,0.21,656.271196,654.828834,-7.072,-7.489,-0.416,16.906,17.063,-0.157,0.192,0.144,-48.0,25.07,1.73,1.34,5.57,2.86,0.071,0.055,0.596,10,386,354,363,355
36327817,1.28647,-1.21527,17,2348,146,0.0,0.357029,0.357031,-6.722,-7.171,-0.448,17.229,17.418,-0.188,0.128,0.125,-3.0,2.4,0.77,0.68,3.44,3.77,0.05,0.048,0.309,10,386,353,361,356
36327402,1.28564,-1.21529,17,2348,563,0.0,0.50522,0.505222,-4.638,-4.559,0.078,19.746,19.407,0.339,0.92,1.215,295.0,32.1,0.89,0.81,9.75,16.69,0.358,0.501,0.44,1,386,245,343,258
36325766,1.28771,-1.21525,17,2348,2191,0.0,0.758623,0.758623,-3.55,-3.633,-0.083,20.701,20.524,0.177,4.297,4.257,-40.0,0.93,1.52,1.72,1.27,1.69,0.279,0.324,1.298,10,386,343,369,349
36325087,1.28652,-1.21518,17,2349,24,0.19,585.357793,584.210038,-8.65,-7.398,1.252,16.696,15.184,1.512,0.414,0.566,152.0,36.53,1.99,2.32,20.57,26.66,0.096,0.154,1.663,9,387,355,362,356
36306754,1.29006,-1.21928,17,2466,23,0.16,49.620437,49.699982,-8.431,-7.362,1.068,16.765,15.436,1.329,0.118,0.143,25.0,20.73,2.22,2.79,5.87,10.23,0.053,0.076,0.986,7,388,366,374,368
36306673,1.28888,-1.21926,17,2466,70,0.06,33.942244,33.92079,-7.009,-6.781,0.228,17.497,17.009,0.488,0.172,0.132,-40.0,22.75,0.76,0.85,6.45,4.42,0.054,0.059,0.407,10,388,367,374,368
36306645,1.29077,-1.21947,17,2466,106,0.0,1.020838,1.020831,-6.321,-5.846,0.474,18.388,17.653,0.735,0.155,0.128,-27.0,17.57,1.12,1.06,1.79,2.06,0.049,0.072,0.137,10,388,376,385,378
36306266,1.29183,-1.21925,17,2466,495,0.0,0.403926,0.403928,-4.932,-5.409,-0.476,18.996,19.213,-0.216,0.688,0.658,-30.0,4.43,1.06,1.34,6.18,8.9,0.183,0.191,0.234,10,388,362,372,364
36306103,1.28905,-1.21967,17,2466,652,0.0,0.606283,0.606299,-4.323,-4.067,0.255,20.206,19.691,0.515,0.55,0.821,271.0,49.29,0.75,0.74,2.06,2.55,0.236,0.323,0.117,1,388,372,382,374
36304744,1.29158,-1.21778,17,2467,8,2.81,0.109399,0.106315,-10.51,-10.97,-0.46,13.432,13.632,-0.199,0.159,0.05,-109.0,68.26,1.8,2.44,2.06,0.45,0.08,0.093,1.243,10,388,343,369,347
36304690,1.29026,-1.21777,17,2467,18,0.08,27.013021,26.989505,-8.403,-7.422,0.981,16.721,15.48,1.24,0.082,0.14,58.0,69.08,1.43,1.93,2.08,3.24,0.034,0.05,0.271,6,388,358,372,371
36304698,1.28911,-1.21824,17,2467,26,0.13,22.724359,22.692969,-8.167,-7.185,0.982,16.958,15.716,1.242,0.04,0.081,41.0,101.67,0.78,1.38,0.85,2.31,0.021,0.041,0.273,10,388,377,385,380
36304484,1.28988,-1.21782,17,2467,260,0.0,0.487874,0.487874,-5.462,-5.981,-0.519,18.432,18.691,-0.259,0.292,0.358,66.0,22.86,0.9,0.98,5.59,5.57,0.118,0.102,0.236,10,388,369,377,379
36304075,1.29139,-1.21821,17,2467,683,0.0,0.347177,0.347183,-4.624,-4.713,-0.089,19.623,19.452,0.17,0.326,0.464,138.0,42.28,0.68,0.78,1.67,3.2,0.183,0.225,0.103,2,388,376,386,378
36345479,1.28536,-1.21188,17,2230,20,0.0,0.825492,0.825488,-8.548,-8.933,-0.384,15.456,15.581,-0.124,0.08,0.083,3.0,4.94,0.66,0.54,1.83,1.75,0.027,0.025,0.64,10,386,359,367,378
36345486,1.28481,-1.21205,17,2230,27,0.0,7.750517,7.750517,-8.2,-8.593,-0.393,15.797,15.93,-0.132,0.419,0.326,-93.0,22.2,1.17,0.98,0.46,0.25,0.054,0.056,0.488,10,386,362,366,381
36324976,1.28857,-1.21449,17,2349,105,0.0,2.5413,2.541383,-7.031,-7.515,-0.484,16.892,17.116,-0.224,0.159,0.129,-30.0,18.94,0.76,0.7,0.44,0.37,0.035,0.03,0.119,10,387,364,373,373
36324881,1.2881,-1.21449,17,2349,202,0.0,0.857607,0.85763,-6.379,-6.763,-0.384,17.626,17.75,-0.123,0.32,0.339,19.0,5.93,0.62,0.87,2.31,5.98,0.101,0.136,0.144,10,387,368,377,373
36324267,1.28699,-1.21462,17,2349,868,0.0,0.56528,0.565286,-4.731,-4.611,0.12,19.687,19.307,0.379,0.644,0.784,140.0,21.61,0.61,0.69,1.87,4.13,0.236,0.317,0.157,1,387,358,367,360
36322018,1.28802,-1.21327,17,2350,18,0.05,202.23664,202.13534,-8.37,-6.17,2.199,17.753,15.294,2.459,0.374,0.684,310.0,82.57,5.8,4.3,62.67,35.21,0.159,0.223,1.784,7,387,361,367,381
36322025,1.28675,-1.21404,17,2350,25,0.24,26.559869,26.495576,-8.332,-7.191,1.141,16.923,15.522,1.401,0.057,0.061,4.0,7.9,1.42,1.35,1.28,1.86,0.034,0.048,0.222,6,387,316,324,362
36321967,1.28608,-1.21348,17,2350,31,0.0,2.193773,2.193742,-7.957,-7.728,0.229,16.55,16.061,0.489,0.214,0.302,88.0,40.83,0.57,0.79,11.04,23.33,0.064,0.099,1.153,4,387,322,353,339
36321975,1.2869,-1.21396,17,2350,39,2.22,0.112138,0.109638,-7.851,-8.367,-0.516,16.045,16.301,-0.256,0.215,0.284,69.0,32.0,2.02,1.85,0.87,0.51,0.064,0.063,0.48,10,387,335,348,358
36321670,1.28874,-1.21337,17,2350,374,0.0,0.571992,0.571999,-5.21,-5.159,0.051,19.151,18.84,0.311,0.476,0.725,249.0,52.34,1.12,1.33,7.7,11.05,0.187,0.238,0.323,1,387,359,365,380
36318794,1.28628,-1.21227,17,2351,24,0.58,226.794988,225.475463,-8.737,-9.254,-0.516,15.159,15.416,-0.256,0.129,0.11,-19.0,14.81,0.96,0.77,3.1,2.58,0.044,0.036,1.089,10,387,354,364,374
36318392,1.28681,-1.21272,17,2351,390,0.0,0.903004,0.90301,-5.482,-5.745,-0.262,18.622,18.625,-0.003,0.639,0.667,28.0,4.42,0.91,0.78,13.87,19.89,0.169,0.172,0.327,10,387,341,351,361
36318360,1.28714,-1.21194,17,2351,422,0.0,0.497131,0.497128,-5.441,-5.556,-0.115,18.784,18.639,0.144,0.546,0.633,87.0,15.92,1.0,0.93,4.66,4.56,0.17,0.212,0.288,1,387,345,351,366
36318131,1.28664,-1.21222,17,2351,641,0.0,0.59761,0.59761,-4.843,-4.69,0.152,19.602,19.189,0.413,0.703,1.031,328.0,46.64,0.72,0.78,5.46,9.51,0.248,0.438,0.264,1,387,331,340,353
36318091,1.28777,-1.21256,17,2351,729,0.0,0.613634,0.613628,-5.11,-4.992,0.118,19.306,18.928,0.378,0.456,0.613,157.0,34.3,0.84,0.89,4.62,9.28,0.161,0.228,0.234,1,387,347,356,373
36317959,1.28643,-1.21285,17,2351,853,0.0,0.465305,0.465303,-4.864,-4.581,0.282,19.688,19.145,0.543,0.394,0.506,112.0,28.48,0.87,1.0,1.7,2.76,0.166,0.377,0.121,1,387,332,337,358
